ID,Name,Description,Contributor,Citation,Text_Number,Media_IDs,Clause_Count,Speaker,Speaker_Gender,Speaker_Age,Speaker_Age_Approximated,Speaker_Year_Born,Speaker_Year_Born_Approximated,Type,Year_Recorded,Recording_Length,Source
hml,hml,,Maria Vollmer,"Vollmer, Maria. 2021. Multi-CAST Mandarin. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2101. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#mandarin) (date accessed)",1,hml_mp3 hml_wav hml_eaf hml_xml hml_tsv,168,MD01,male,23,no,1992,no,TN,2015,625.4759183673469,
jgz,jgz,,Maria Vollmer,"Vollmer, Maria. 2021. Multi-CAST Mandarin. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2101. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#mandarin) (date accessed)",2,jgz_mp3 jgz_wav jgz_eaf jgz_xml jgz_tsv,542,MD02,male,23,no,1992,no,TN,2015,1274.5665306122448,
lzh,lzh,,Maria Vollmer,"Vollmer, Maria. 2021. Multi-CAST Mandarin. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2101. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#mandarin) (date accessed)",3,lzh_mp3 lzh_wav lzh_eaf lzh_xml lzh_tsv,141,MD03,male,22,no,1993,no,TN,2015,493.1918367346939,
