ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Affiliation,Areas,Varieties
mcmandarin,Mandarin,Eurasia,40.0209,116.228,mand1415,,"Sino-Tibetan, Sinitic",People's Republic of China,"Pǔtōnghuà, Xī'ān and Dōngběi"
en,English,,,,stan1293,,,,
